127.0.0.1 - - [06/Jul/2017:11:20:19 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [06/Jul/2017:11:21:15 +0530] "GET /RESTfulExample/tablecre.jsp HTTP/1.1" 200 4273
0:0:0:0:0:0:0:1 - - [06/Jul/2017:11:22:30 +0530] "GET /RESTfulExample/tablecre.jsp HTTP/1.1" 200 4273
0:0:0:0:0:0:0:1 - - [06/Jul/2017:11:23:09 +0530] "GET /RESTfulExample/tablecre.jsp HTTP/1.1" 200 4272
0:0:0:0:0:0:0:1 - - [06/Jul/2017:11:25:34 +0530] "GET /RESTfulExample/tablecre.jsp HTTP/1.1" 200 4450
0:0:0:0:0:0:0:1 - - [06/Jul/2017:11:28:29 +0530] "GET /RESTfulExample/tablecre.jsp HTTP/1.1" 200 4623
0:0:0:0:0:0:0:1 - - [06/Jul/2017:11:50:07 +0530] "GET /RESTfulExample/server.jsp HTTP/1.1" 200 1634
0:0:0:0:0:0:0:1 - - [06/Jul/2017:11:50:07 +0530] "GET /RESTfulExample/rest/table/marks,?draw=1&columns%5B0%5D%5Bdata%5D=0&columns%5B0%5D%5Bname%5D=&columns%5B0%5D%5Bsearchable%5D=true&columns%5B0%5D%5Borderable%5D=true&columns%5B0%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B0%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B1%5D%5Bdata%5D=1&columns%5B1%5D%5Bname%5D=&columns%5B1%5D%5Bsearchable%5D=true&columns%5B1%5D%5Borderable%5D=true&columns%5B1%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B1%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B2%5D%5Bdata%5D=2&columns%5B2%5D%5Bname%5D=&columns%5B2%5D%5Bsearchable%5D=true&columns%5B2%5D%5Borderable%5D=true&columns%5B2%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B2%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B3%5D%5Bdata%5D=3&columns%5B3%5D%5Bname%5D=&columns%5B3%5D%5Bsearchable%5D=true&columns%5B3%5D%5Borderable%5D=true&columns%5B3%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B3%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B4%5D%5Bdata%5D=4&columns%5B4%5D%5Bname%5D=&columns%5B4%5D%5Bsearchable%5D=true&columns%5B4%5D%5Borderable%5D=true&columns%5B4%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B4%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B5%5D%5Bdata%5D=5&columns%5B5%5D%5Bname%5D=&columns%5B5%5D%5Bsearchable%5D=true&columns%5B5%5D%5Borderable%5D=true&columns%5B5%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B5%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B6%5D%5Bdata%5D=6&columns%5B6%5D%5Bname%5D=&columns%5B6%5D%5Bsearchable%5D=true&columns%5B6%5D%5Borderable%5D=true&columns%5B6%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B6%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B7%5D%5Bdata%5D=7&columns%5B7%5D%5Bname%5D=&columns%5B7%5D%5Bsearchable%5D=true&columns%5B7%5D%5Borderable%5D=true&columns%5B7%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B7%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B8%5D%5Bdata%5D=8&columns%5B8%5D%5Bname%5D=&columns%5B8%5D%5Bsearchable%5D=true&columns%5B8%5D%5Borderable%5D=true&columns%5B8%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B8%5D%5Bsearch%5D%5Bregex%5D=false&order%5B0%5D%5Bcolumn%5D=0&order%5B0%5D%5Bdir%5D=asc&start=0&length=10&search%5Bvalue%5D=&search%5Bregex%5D=false&_=1499322007557 HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [06/Jul/2017:11:51:30 +0530] "GET /RESTfulExample/server.jsp HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [06/Jul/2017:11:51:33 +0530] "GET /RESTfulExample/server.jsp HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [06/Jul/2017:12:06:50 +0530] "GET /RESTfulExample/chart.jsp HTTP/1.1" 200 1644
0:0:0:0:0:0:0:1 - - [06/Jul/2017:12:07:47 +0530] "GET /RESTfulExample/chart.jsp HTTP/1.1" 200 1647
