0:0:0:0:0:0:0:1 - - [18/Jul/2017:13:18:27 +0530] "GET /RESTfulExample/line.jsp HTTP/1.1" 200 3986
0:0:0:0:0:0:0:1 - - [18/Jul/2017:13:18:30 +0530] "GET /RESTfulExample/rest/tabletemp/Temp HTTP/1.1" 200 14923
0:0:0:0:0:0:0:1 - - [18/Jul/2017:14:27:30 +0530] "GET /RESTfulExample/rest/tabletemp/Temp HTTP/1.1" 200 14923
0:0:0:0:0:0:0:1 - - [18/Jul/2017:14:28:50 +0530] "GET /RESTfulExample/line.jsp HTTP/1.1" 200 3994
0:0:0:0:0:0:0:1 - - [18/Jul/2017:14:28:52 +0530] "GET /RESTfulExample/rest/tabletemp/Temp HTTP/1.1" 200 14923
0:0:0:0:0:0:0:1 - - [18/Jul/2017:14:28:53 +0530] "GET /RESTfulExample/rest/tabletemp/Temp HTTP/1.1" 200 14923
0:0:0:0:0:0:0:1 - - [18/Jul/2017:14:29:34 +0530] "GET /RESTfulExample/line.jsp HTTP/1.1" 200 3990
0:0:0:0:0:0:0:1 - - [18/Jul/2017:14:29:37 +0530] "GET /RESTfulExample/rest/tabletemp/Temp HTTP/1.1" 200 14923
0:0:0:0:0:0:0:1 - - [18/Jul/2017:14:29:41 +0530] "GET /RESTfulExample/rest/tabletemp/Temp HTTP/1.1" 200 14923
0:0:0:0:0:0:0:1 - - [18/Jul/2017:14:30:20 +0530] "GET /RESTfulExample/line.jsp HTTP/1.1" 200 3982
0:0:0:0:0:0:0:1 - - [18/Jul/2017:14:30:21 +0530] "GET /RESTfulExample/rest/tabletemp/Temp HTTP/1.1" 200 14923
0:0:0:0:0:0:0:1 - - [18/Jul/2017:14:35:16 +0530] "GET /RESTfulExample/line.jsp HTTP/1.1" 200 3300
0:0:0:0:0:0:0:1 - - [18/Jul/2017:14:35:17 +0530] "GET /RESTfulExample/rest/tabletemp/Temp HTTP/1.1" 200 14923
0:0:0:0:0:0:0:1 - - [18/Jul/2017:14:35:29 +0530] "GET /RESTfulExample/line.jsp HTTP/1.1" 200 3985
0:0:0:0:0:0:0:1 - - [18/Jul/2017:14:35:31 +0530] "GET /RESTfulExample/rest/tabletemp/Temp HTTP/1.1" 200 14923
