127.0.0.1 - - [19/Jul/2017:13:30:26 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [19/Jul/2017:13:47:18 +0530] "GET /RESTfulExample/line.jsp HTTP/1.1" 200 3985
0:0:0:0:0:0:0:1 - - [19/Jul/2017:13:47:19 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [19/Jul/2017:13:47:25 +0530] "GET /RESTfulExample/cat.jsp HTTP/1.1" 200 665
0:0:0:0:0:0:0:1 - - [19/Jul/2017:13:48:11 +0530] "GET /RESTfulExample/cat.jsp HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [19/Jul/2017:13:48:45 +0530] "GET /RESTfulExample/cat.jsp HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [19/Jul/2017:13:55:21 +0530] "GET /RESTfulExample/rest/admin/overload HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [19/Jul/2017:13:55:55 +0530] "GET /RESTfulExample/admin/overload HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [19/Jul/2017:13:56:09 +0530] "GET /RESTfulExample/admin/overload HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [19/Jul/2017:14:05:04 +0530] "GET /RESTfulExample/rest/admin/overload HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [19/Jul/2017:14:06:54 +0530] "GET /RESTfulExample/rest/admin/overload HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [19/Jul/2017:14:06:57 +0530] "GET /RESTfulExample/rest/admin/overload HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [19/Jul/2017:14:07:00 +0530] "GET /RESTfulExample/rest/admin/overload HTTP/1.1" 404 967
